2025.11.07 19:08:01 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/common_2.12/4.13.4/common_2.12-4.13.4.pom
2025.11.07 19:08:01 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/io_2.12/1.10.4/io_2.12-1.10.4.pom
2025.11.07 19:08:01 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/util-position_2.12/1.10.7/util-position_2.12-1.10.7.pom
2025.11.07 19:08:02 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/util-position_2.12/1.10.7/util-position_2.12-1.10.7.pom
2025.11.07 19:08:02 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/com/eed3si9n/gigahorse-apache-http_2.12/0.7.0/gigahorse-apache-http_2.12-0.7.0.pom
2025.11.07 19:08:02 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/google/errorprone/error_prone_annotations/2.37.0/error_prone_annotations-2.37.0.pom
2025.11.07 19:08:02 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/io_2.12/4.13.4/io_2.12-4.13.4.pom
2025.11.07 19:08:02 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/util-cache_2.12/1.10.7/util-cache_2.12-1.10.7.pom
2025.11.07 19:08:02 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/util-position_2.12/1.10.7/util-position_2.12-1.10.7.pom.sha1
2025.11.07 19:08:02 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/util-position_2.12/1.10.7/util-position_2.12-1.10.7.pom.sha1
2025.11.07 19:08:02 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/eed3si9n/gigahorse-apache-http_2.12/0.7.0/gigahorse-apache-http_2.12-0.7.0.pom.sha1
2025.11.07 19:08:02 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/com/google/errorprone/error_prone_annotations/2.37.0/error_prone_annotations-2.37.0.pom
2025.11.07 19:08:02 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/util-cache_2.12/1.10.7/util-cache_2.12-1.10.7.pom
2025.11.07 19:08:02 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/io_2.12/4.13.4/io_2.12-4.13.4.pom.sha1
2025.11.07 19:08:02 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/google/errorprone/error_prone_annotations/2.37.0/error_prone_annotations-2.37.0.pom.sha1
2025.11.07 19:08:02 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/util-logging_2.12/1.10.7/util-logging_2.12-1.10.7.pom
2025.11.07 19:08:02 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/io_2.12/4.13.4/io_2.12-4.13.4.pom.sha1
